 ;2016
Afghanistan;4,4
Albania;1,3
Algeria;6,4
American Samoa;-
Andorra;-
Angola;30,7
Antigua and Barbuda;-0,5
Argentina;-
Armenia;-1,4
Aruba;-0,9
Australia;1,3
Austria;0,9
Azerbaijan;12,4
Bahamas, The;-0,3
Bahrain;2,8
Bangladesh;5,5
Barbados;1,3
Belarus;11,8
Belgium;2,0
Belize;0,7
Benin;-0,8
Bermuda;-
Bhutan;3,2
Bolivia;3,6
Bosnia and Herzegovina;-
Botswana;2,8
Brazil;8,7
British Virgin Islands;-
Brunei Darussalam;-0,3
Bulgaria;-0,8
Burkina Faso;0,4
Burundi;5,6
Cabo Verde;-1,4
Cambodia;3,0
Cameroon;0,9
Canada;1,4
Cayman Islands;-0,6
Central African Republic;4,9
Chad;-0,8
Channel Islands;-
Chile;3,8
China;2,0
Colombia;7,5
Comoros;-
Congo, Dem. Rep.;2,9
Congo, Rep.;3,2
Costa Rica;0,0
Cote d'Ivoire;0,7
Croatia;-1,1
Cuba;-
Curacao;0,0
Cyprus;-1,4
Czechia;0,7
Denmark;0,3
Djibouti;2,7
Dominica;0,1
Dominican Republic;1,6
Ecuador;1,7
Egypt, Arab Rep.;13,8
El Salvador;0,6
Equatorial Guinea;1,4
Eritrea;-
Estonia;0,1
Ethiopia;6,6
Faroe Islands;-
Fiji;3,9
Finland;0,4
France;0,2
French Polynesia;-
Gabon;2,1
Gambia, The;7,2
Georgia;2,1
Germany;0,5
Ghana;17,5
Gibraltar;-
Greece;-0,8
Greenland;-
Grenada;1,7
Guam;-
Guatemala;4,4
Guinea;8,2
Guinea-Bissau;1,5
Guyana;0,8
Haiti;11,5
Honduras;2,7
Hong Kong SAR, China;2,4
Hungary;0,4
Iceland;1,7
India;4,9
Indonesia;3,5
Iran, Islamic Rep.;7,2
Iraq;0,6
Ireland;0,0
Isle of Man;-
Israel;-0,6
Italy;-0,1
Jamaica;2,4
Japan;-0,1
Jordan;-0,8
Kazakhstan;14,4
Kenya;6,3
Kiribati;1,9
Korea, Dem. People's Rep.;-
Korea, Rep.;1,0
Kosovo;0,3
Kuwait;3,2
Kyrgyz Republic;0,4
Lao PDR;1,6
Latvia;0,1
Lebanon;-0,8
Lesotho;6,6
Liberia;8,8
Libya;25,9
Liechtenstein;-
Lithuania;0,9
Luxembourg;0,3
Macao SAR, China;2,4
North Macedonia;-0,2
Madagascar;6,0
Malawi;21,7
Malaysia;2,1
Maldives;0,5
Mali;-1,8
Malta;0,6
Marshall Islands;-
Mauritania;1,5
Mauritius;1,0
Mexico;2,8
Micronesia, Fed. Sts.;-1,0
Moldova;6,4
Monaco;-
Mongolia;0,7
Montenegro;-0,3
Morocco;1,6
Mozambique;17,4
Myanmar;6,9
Namibia;6,7
Nauru;-
Nepal;8,8
Netherlands;0,3
New Caledonia;0,6
New Zealand;0,6
Nicaragua;3,5
Niger;1,7
Nigeria;15,7
Northern Mariana Islands;-
Norway;3,5
Oman;1,1
Pakistan;3,8
Palau;-1,0
Panama;0,7
Papua New Guinea;6,7
Paraguay;4,1
Peru;3,6
Philippines;1,3
Poland;-0,7
Portugal;0,6
Puerto Rico;-
Qatar;2,7
Romania;-1,5
Russian Federation;7,0
Rwanda;7,2
Samoa;1,3
San Marino;0,6
Sao Tome and Principe;5,4
Saudi Arabia;2,1
Senegal;0,8
Serbia;1,1
Seychelles;-1,0
Sierra Leone;10,9
Singapore;-0,5
Sint Maarten (Dutch part);0,1
Slovak Republic;-0,5
Slovenia;-0,1
Solomon Islands;0,5
Somalia;-
South Africa;6,6
South Sudan;380,0
Spain;-0,2
Sri Lanka;4,0
St. Kitts and Nevis;-0,7
St. Lucia;-3,1
St. Martin (French part);-
St. Vincent and the Grenadines;-0,1
Sudan;17,8
Suriname;55,4
Eswatini;7,8
Sweden;1,0
Switzerland;-0,4
Syrian Arab Republic;-
Tajikistan;6,0
Tanzania;5,2
Thailand;0,2
Timor-Leste;-1,5
Togo;1,3
Tonga;2,6
Trinidad and Tobago;3,1
Tunisia;3,6
Turkiye;7,8
Turkmenistan;-
Turks and Caicos Islands;-
Tuvalu;-
Uganda;5,7
Ukraine;13,9
United Arab Emirates;1,6
United Kingdom;1,0
United States;1,3
Uruguay;9,6
Uzbekistan;8,1
Vanuatu;0,8
Venezuela, RB;254,9
Viet Nam;2,7
Virgin Islands (U.S.);-
West Bank and Gaza;-0,2
Yemen, Rep.;-
Zambia;17,9
Zimbabwe;-1,5
